u,g,r,i,z,class
19.13265,18.8669,18.69255,18.7443,18.66868,QSO
19.32882,18.36608,17.82287,17.45768,17.288339999999998,GALAXY
19.55895,19.22136,19.100270000000002,19.059520000000003,18.88776,QSO
19.40428,17.13655,16.169520000000002,15.734229999999998,15.43811,GALAXY
19.48766,17.58667,16.26419,15.750720000000001,15.36806,GALAXY
19.456970000000002,17.86766,17.07366,16.65953,16.37368,GALAXY
16.88591,14.97185,14.105410000000001,13.676520000000002,13.35281,GALAXY
16.89574,15.092189999999999,14.257010000000001,13.73621,13.39856,GALAXY
19.41699,18.44237,18.00842,17.724729999999997,17.55639,GALAXY
18.11984,17.97356,17.88874,17.73592,17.61799,QSO
19.52492,17.845760000000002,16.934060000000002,16.51191,16.17272,GALAXY
19.30772,17.95893,17.37092,17.12394,17.02307,GALAXY
19.0619,17.248160000000002,16.468510000000002,16.10925,15.80609,GALAXY
18.70274,16.707639999999998,15.8081,15.368160000000001,15.03175,GALAXY
18.68414,18.41752,18.142960000000002,18.04186,17.66488,QSO
16.59047,15.49019,15.00495,14.89765,14.677220000000002,GALAXY
18.94985,18.77299,18.744229999999998,18.435389999999998,18.283079999999998,QSO
18.19341,16.35601,15.424920000000002,14.934029999999998,14.55096,GALAXY
18.94239,17.27582,16.54962,16.15945,15.910179999999999,GALAXY
19.3241,18.61351,18.614639999999998,18.56985,18.24085,QSO
19.52863,17.865070000000003,17.021179999999998,16.55406,16.24365,GALAXY
17.5139,16.53795,16.10406,15.70546,15.565920000000002,GALAXY
17.956129999999998,17.77176,17.84065,17.939729999999997,18.074920000000002,QSO
19.07337,17.93198,17.3526,17.00554,16.82232,GALAXY
19.59225,18.11986,17.22845,16.77061,16.4746,GALAXY
18.98675,18.81336,18.67537,18.48346,18.42836,QSO
19.598589999999998,19.5559,19.28165,19.1428,19.11109,QSO
19.01908,17.9804,17.47823,17.01997,16.86898,GALAXY
17.2738,16.21646,15.958670000000001,15.919089999999999,15.91746,GALAXY
18.904510000000002,18.58533,18.11656,18.05185,17.91853,QSO
18.250320000000002,16.7574,15.914829999999998,15.45761,15.104389999999999,GALAXY
18.8837,17.697470000000003,17.17076,16.82595,16.64361,GALAXY
18.96436,17.83894,17.39406,17.13212,16.96525,GALAXY
17.34221,16.14761,15.64804,15.33714,15.164929999999998,GALAXY
18.96021,18.02019,17.627489999999998,17.29476,17.17176,GALAXY
19.52812,18.513720000000003,17.7885,17.30474,17.11293,GALAXY
18.42119,16.592979999999997,15.70234,15.242370000000001,14.8906,GALAXY
18.203470000000003,16.78806,16.04296,15.59242,15.275529999999998,GALAXY
18.132620000000003,16.658179999999998,16.11194,15.778960000000001,15.802970000000002,GALAXY
19.53904,17.94012,16.95289,16.45552,16.09195,GALAXY
18.8338,17.564770000000003,16.97174,16.64201,16.3823,GALAXY
19.524420000000003,19.33138,18.95844,18.837979999999998,18.89463,QSO
17.348229999999997,16.42054,16.11156,15.787889999999999,15.73158,GALAXY
18.84141,17.593410000000002,17.07628,16.70327,16.49026,GALAXY
18.541,17.1583,16.567339999999998,16.25127,16.01523,GALAXY
18.33817,17.31875,16.82506,16.56825,16.352870000000003,GALAXY
18.78365,16.95607,16.01671,15.593229999999998,15.28346,GALAXY
17.74361,15.84941,14.970170000000001,14.49825,14.11091,GALAXY
19.30807,18.15909,17.68348,17.34658,17.238770000000002,GALAXY
18.6671,17.26362,16.484479999999998,16.078889999999998,15.75349,GALAXY
18.79395,16.8782,15.879579999999999,15.390179999999999,14.99528,GALAXY
19.45149,17.96828,17.339570000000002,17.00699,16.88167,GALAXY
19.1407,18.0086,17.4658,17.08977,16.8791,GALAXY
19.553420000000003,18.26035,17.51077,17.10071,16.83257,GALAXY
18.56369,16.94836,15.96055,15.5104,15.166070000000001,GALAXY
18.7107,17.0512,16.0986,15.593539999999999,15.210289999999999,GALAXY
18.55101,17.5894,17.12584,16.739810000000002,16.58983,GALAXY
19.33675,18.198539999999998,17.52307,17.13959,16.96671,GALAXY
17.778570000000002,15.75959,14.84539,14.40439,14.06282,GALAXY
19.52505,18.49446,17.9257,17.5621,17.33006,GALAXY
19.44727,17.320870000000003,16.24645,15.774389999999999,15.42705,GALAXY
19.1292,17.893279999999997,17.155720000000002,16.73214,16.47853,GALAXY
19.36127,17.89316,17.14077,16.75289,16.45291,GALAXY
19.353939999999998,17.63867,16.71973,16.24205,15.88911,GALAXY
18.22644,16.81138,16.33398,15.998220000000002,15.85026,GALAXY
18.77986,17.22158,16.68896,16.44829,16.23646,GALAXY
17.50691,15.80403,14.98986,14.56388,14.247320000000002,GALAXY
19.12989,19.02451,18.77515,18.50374,18.30209,QSO
19.53806,19.25658,18.920679999999997,18.88887,18.82619,QSO
18.87071,17.03546,16.19728,15.779589999999999,15.46164,GALAXY
18.822779999999998,18.71588,18.62815,18.25906,18.155620000000003,QSO
18.99147,17.041929999999997,16.167270000000002,15.75,15.4047,GALAXY
18.12708,16.94526,16.2718,15.97039,15.750960000000001,GALAXY
18.40021,17.367639999999998,17.095110000000002,16.897679999999998,16.75601,GALAXY
17.97159,16.03036,15.1012,14.65259,14.292620000000001,GALAXY
18.59991,17.49835,16.98351,16.69734,16.56795,GALAXY
18.27938,17.92499,18.10993,18.041520000000002,18.13216,QSO
19.02528,17.80218,17.34674,17.119979999999998,17.253339999999998,GALAXY
